,run,Var c5bg,Var c5,Var c9bg,Var c9,Number Shots,Wiggle Time
2025-11-20_C;Freq:20kHz,2025-11-20_C,11566.647372082667,8796.88843592889,162521.33833359357,117554.83189084161,15.0,0.181
2025-11-20_C;Freq:20kHz,2025-11-20_C,8987.923761232461,9990.282049039999,345313.7548786798,235607.59772774382,15.0,0.171
2025-11-20_C;Freq:20kHz,2025-11-20_C,13515.029979241273,8020.910955182221,239019.3692246013,91532.31238184954,15.0,0.111
2025-11-20_C;Freq:20kHz,2025-11-20_C,7227.598880124253,15350.508869262221,147980.0927215617,321391.06730147835,15.0,0.151
2025-11-20_C;Freq:20kHz,2025-11-20_C,10840.659407150459,19548.62293352889,164257.14611978238,172219.633565696,15.0,0.161
2025-11-20_C;Freq:20kHz,2025-11-20_C,9251.816982835537,7456.360526195554,158122.66471693292,153314.73424547844,15.0,0.121
2025-11-20_C;Freq:20kHz,2025-11-20_C,14803.643161256095,14694.872863042488,224928.98075483993,2372529.3723523235,15.0,0.131
2025-11-20_C;Freq:20kHz,2025-11-20_C,7287.030990106691,14751.326375466668,123946.12458291203,249204.91589058566,15.0,0.141
2025-11-20_C;Freq:20kHz,2025-11-20_C,12367.254825535036,13868.255944489796,218883.13578946545,180144.83198897625,14.0,0.101
2025-11-20_F;Freq:20kHz,2025-11-20_F,12987.793056228378,35501.83473155555,545747.3555204424,625746.4694374403,15.0,0.161
2025-11-20_F;Freq:20kHz,2025-11-20_F,16567.7719485,26649.754073437496,475622.32262400026,889679.316096,16.0,0.151
2025-11-20_F;Freq:20kHz,2025-11-20_F,7268.131130444446,19840.88578546713,582324.1287679996,380238.98858209007,17.0,0.171
2025-11-20_F;Freq:20kHz,2025-11-20_F,6325.162128308593,10107.724975778547,533073.3613920002,715814.0850827948,17.0,0.181
2025-11-20_F;Freq:20kHz,2025-11-20_F,13350.388366325258,7298.344162816606,448689.4059378272,399452.042413619,17.0,0.141
2025-11-20_F;Freq:20kHz,2025-11-20_F,7561.107433737024,19822.66487232888,545405.4107327336,464115.4442854397,15.0,0.131
2025-11-20_F;Freq:20kHz,2025-11-20_F,22291.345277993078,11486.043093750002,1016262.3674162488,316717.98361200024,16.0,0.121
2025-11-20_F;Freq:20kHz,2025-11-20_F,7245.135896448751,14922.047067820069,616257.396503401,412579.8054391146,17.0,0.111
2025-11-20_F;Freq:20kHz,2025-11-20_F,11797.999985691358,17502.133252734377,589585.5493119998,633955.0011479988,16.0,0.101
2025-11-06_H;Freq:10kHz,2025-11-06_H,3350.1292857457674,5346.338536663441,58209.33346063672,86824.67386143345,7.0,0.271
2025-11-06_H;Freq:10kHz,2025-11-06_H,4705.847493423612,4354.177873984898,94003.64617686202,58842.90497708406,7.0,0.281
2025-11-06_H;Freq:10kHz,2025-11-06_H,4288.631254574286,3922.505177931428,64863.071631151084,107506.21635761646,7.0,0.261
2025-11-06_H;Freq:10kHz,2025-11-06_H,3012.5976924903957,4069.2693545926527,106092.54383796244,24594.718602187786,7.0,0.251
2025-11-06_H;Freq:10kHz,2025-11-06_H,4927.1494516853345,9143.930641768571,118007.25384534187,72182.1808403592,7.0,0.221
2025-11-06_H;Freq:10kHz,2025-11-06_H,1599.1021996367344,5772.519180530611,117523.89320262519,12553.746489913454,7.0,0.241
2025-11-06_H;Freq:10kHz,2025-11-06_H,10039.266445602641,15840.752920122444,64234.64557283267,60504.278834991004,7.0,0.231
2025-11-06_H;Freq:10kHz,2025-11-06_H,11142.690420885556,7025.04080985,123162.09662904876,39971.900684515545,6.0,0.291
2025-11-07_E;Freq:6kHz,2025-11-07_E,6995.6104181512765,5987.04656857143,86464.22607521957,228446.93233313956,7.0,0.361
2025-11-07_E;Freq:6kHz,2025-11-07_E,6168.610951273878,15410.184814857143,123620.05069510532,112386.63180685062,7.0,0.381
2025-11-07_E;Freq:6kHz,2025-11-07_E,6538.973331970927,1359.0137238367338,59439.469087033525,91100.0588435592,7.0,0.341
2025-11-07_E;Freq:6kHz,2025-11-07_E,14386.34985516834,4537.944419428571,506971.26716917567,91543.74144600813,7.0,0.321
2025-11-07_E;Freq:6kHz,2025-11-07_E,6157.728242958968,12910.293587692651,192885.82424090113,68886.73692922773,7.0,0.441
2025-11-07_E;Freq:6kHz,2025-11-07_E,7376.120874301734,3914.9507309795913,30004.107732845765,80467.81343629057,7.0,0.421
2025-11-07_E;Freq:6kHz,2025-11-07_E,1379.3074474649104,16963.783109107397,64016.94454431353,206828.93861480485,7.0,0.461
2025-11-07_E;Freq:6kHz,2025-11-07_E,2089.724826467755,17473.86583355102,199630.95566440487,133420.78481987916,7.0,0.481
2025-11-07_E;Freq:6kHz,2025-11-07_E,6788.3241567510195,7213.479155792653,91854.80695165377,242343.26677712964,7.0,0.401
2025-11-17_N;Freq:10kHz,2025-11-17_N,11163.07462964945,23536.598558728892,556411.0295352885,391764.4672409601,15.0,0.401
2025-11-17_N;Freq:10kHz,2025-11-17_N,2950.5879336498388,11568.071609395554,357591.7790094222,347952.21838392917,15.0,0.391
2025-11-17_N;Freq:10kHz,2025-11-17_N,6948.705579005601,16552.449977893328,198557.90876728884,413923.51132899534,15.0,0.431
2025-11-17_N;Freq:10kHz,2025-11-17_N,8929.343437515932,10562.562313555552,370775.74076302274,578543.7716263814,15.0,0.441
2025-11-17_N;Freq:10kHz,2025-11-17_N,5420.8568858366225,11256.696864648886,398910.0611709158,158917.08087864888,15.0,0.421
2025-11-17_N;Freq:10kHz,2025-11-17_N,9352.160646918464,10216.951521848885,541190.5194791828,307883.03351011564,15.0,0.361
2025-11-17_N;Freq:10kHz,2025-11-17_N,4355.143145739733,9870.092703422222,274853.41598606284,366458.70320184913,15.0,0.371
2025-11-17_N;Freq:10kHz,2025-11-17_N,6132.056246182667,17498.808573582224,334347.41875939514,287450.6234641072,15.0,0.381
2025-11-17_N;Freq:10kHz,2025-11-17_N,5345.301731184623,11405.47558526223,524088.18149091495,301506.0955972268,15.0,0.341
2025-11-17_N;Freq:10kHz,2025-11-17_N,11546.506392857755,5973.241346773332,619007.9961551022,331383.3259389151,15.0,0.331
2025-11-17_N;Freq:10kHz,2025-11-17_N,6785.891832616891,9008.367384906667,178290.8928017065,232694.41916472898,15.0,0.321
2025-11-18_J;Freq:6kHz,2025-11-18_J,17029.325127209184,6437.922802666663,504436.1124519186,301827.37526784,15.0,0.361
2025-11-18_J;Freq:6kHz,2025-11-18_J,10333.266005715555,18702.45117955555,236670.60187135937,166423.74549503997,15.0,0.381
2025-11-18_J;Freq:6kHz,2025-11-18_J,9268.138066533333,12012.36803822222,324802.7721727997,373679.5582464002,15.0,0.371
2025-11-18_J;Freq:6kHz,2025-11-18_J,6594.6898145714285,20867.5180728889,384509.6134530613,667729.5671705599,15.0,0.331
2025-11-18_J;Freq:6kHz,2025-11-18_J,4802.477776462222,9397.535202666673,310003.6065689599,162745.2526592003,15.0,0.341
2025-11-18_J;Freq:6kHz,2025-11-18_J,8980.802151928994,5733.327078222222,285585.35575782316,275969.07503615995,15.0,0.321
2025-11-18_J;Freq:6kHz,2025-11-18_J,3071.050490355556,11312.013172943876,228325.63347456072,400373.9102145313,14.0,0.441
2025-11-18_J;Freq:6kHz,2025-11-18_J,10834.528795408161,25411.741049840002,589714.9305678358,915084.58266624,15.0,0.431
2025-11-18_J;Freq:6kHz,2025-11-18_J,8590.176447535716,6445.887119515303,505668.9089358374,435065.09245126566,14.0,0.421
2025-11-18_J;Freq:6kHz,2025-11-18_J,8477.195754000002,7151.925871325445,297187.4906039293,278841.4034647101,13.0,0.461
2025-11-18_J;Freq:6kHz,2025-11-18_J,6355.618811226666,13912.137289775146,464319.9489638405,296468.76268459205,13.0,0.481
2025-11-18_J;Freq:6kHz,2025-11-18_J,4271.698088160001,14773.267328888895,134842.62465536027,862334.65143296,15.0,0.501
2025-11-18_J;Freq:6kHz,2025-11-18_J,2985.5746113066657,8367.455935204083,377154.08347136,405825.99631934654,14.0,0.391
2025-11-18_J;Freq:6kHz,2025-11-18_J,5213.789676674556,22457.765368687495,527919.0002669827,223040.00479999973,12.0,0.401
2025-11-19_H;Freq:20kHz,2025-11-19_H,22533.668830280258,9299.141126535715,132074.38218804236,270438.0029267067,14.0,0.101
2025-11-19_H;Freq:20kHz,2025-11-19_H,4622.5527591664295,10645.34094914793,231417.23070709733,288861.4214831716,13.0,0.111
2025-11-19_H;Freq:20kHz,2025-11-19_H,6032.813007860236,11878.128336382222,115835.95658246063,203738.80035737602,15.0,0.141
2025-11-19_H;Freq:20kHz,2025-11-19_H,6654.950167548022,8341.817388899406,170687.07671980414,194053.55859992237,13.0,0.131
2025-11-19_H;Freq:20kHz,2025-11-19_H,3195.3449196002553,4166.290818972223,219792.8202308962,302501.6064767998,12.0,0.121
2025-11-19_H;Freq:20kHz,2025-11-19_H,2020.5033799338773,7863.586982722219,297384.6254703284,134072.53452480008,12.0,0.161
2025-11-19_H;Freq:20kHz,2025-11-19_H,13240.656658339183,9528.898038333335,459105.353750204,229632.4884704,12.0,0.151
2025-11-19_H;Freq:20kHz,2025-11-19_H,12680.421403307395,8149.545211346936,142273.8419360914,144617.77431724395,14.0,0.171
2025-11-19_H;Freq:20kHz,2025-11-19_H,13706.385153048368,2953.1436724023656,327203.8686483198,174841.93806117878,13.0,0.181
