,Pulse Time (us),Modulation Freq (kHz),Modulation Amp (Vpp),Phase Shift A-f0 (rad),Phase Shift A-f0 err (rad),Phase Shift f0-B (rad),Phase Shift f0-B err (rad),Phase Shift C-B (rad),Phase Shift C-B err (rad),Dropped Wiggle Times (ms),Sin Fit of A,Error of Sin Fit of A,Sin Fit of C,Error of Sin Fit of C,Sin Fit of f0,Error of Sin Fit of f0,TRACK_BG,FIX_WIDTH,SINGLE_SHOT,HFT_or_dimer
2025-10-23_S,10,10,1.8,0.221073669,0.356230059,0.247075629,0.102200003,0.466113436,0.3418615,[],[0.02864974 6.13192506 0.12608415],[0.00989592 0.34229757 0.00696318],[0.29012946 6.1298892  1.27133333],[0.09975807 0.34081765 0.07019505],[0.02819934 5.91068238 3.98616123],[0.00273379 0.0987602  0.00200838],TRUE,TRUE,FALSE,dimer
2025-10-21_H,10,10,1.8,0.146885191,0.252054461,0.348528727,0.166687869,0.494378828,0.192327354,[],[0.04213986 6.15918968 0.09906476],[0.00752884 0.19094297 0.00551257],[0.59760597 6.15815459 1.40195659],[0.10650051 0.19046574 0.07797528],[0.02581813 6.01230442 3.98373585],[0.00461042 0.16453618 0.00341606],TRUE,TRUE,FALSE,dimer
2025-09-24_E,20,6,1.8,1.019805419,0.372629717,-0.072165227,0.025586087,0.944695463,0.371007896,[0.43],[0.02075391 0.09314139 0.14561175],[0.00490433 0.37238083 0.0044915 ],[0.15632989 0.09019667 1.09593307],[0.03682857 0.37037499 0.03365975],[0.019487   5.35652128 3.98743385],[0.00051992 0.01361698 0.00030114],FALSE,TRUE,FALSE,dimer
2025-10-01_L,20,10,1.8,0.588466102,0.188399206,0.030943443,0.062753383,0.619409545,0.180929783,[0.29],[2.88212331e-02 9.94253879e-17 1.58551861e-01],[0.00483407 0.17963543 0.00353243],[2.36732363e-01 2.08084066e-18 1.29695996e+00],[0.03954872 0.17894964 0.02889957],[0.02469101 5.69471931 3.98698776],[0.0013807  0.05679242 0.00101541],FALSE,TRUE,FALSE,dimer
2025-10-17_M,20,10,1.8,0.260860042,0.144489724,5.99E-05,0.026694821,0.259672391,0.146389379,[],[0.03660485 5.9246957  0.14861192],[0.0052795  0.14448972 0.00370875],[0.29956005 5.92344815 1.21131946],[0.04305252 0.14393484 0.03023829],[0.02596241 5.66383566 3.98706164],[6.59421282e-07 2.47885635e-05 4.60711382e-07],TRUE,TRUE,TRUE,dimer
2025-10-18_O,20,10,1.8,0.324758145,0.133984253,-6.47E-05,0.026694813,0.32309664,0.13602607,[],[0.04305824 5.9884692  0.17234712],[0.0058309  0.13398425 0.00410931],[0.26000369 5.9868724  1.03598306],[0.03506574 0.13338095 0.02470554],[0.02588737 5.66371106 3.98699008],[3.58770597e-07 1.40793956e-05 2.55536349e-07],TRUE,TRUE,TRUE,dimer
2025-10-20_M,10,10,1.8,0.427109488,0.25613812,-9.07E-06,0.026694811,0.425496699,0.256541327,[],[0.02965644 6.09087618 0.10496741],[0.00719249 0.25613812 0.00524828],[0.28066173 6.08927246 0.9897667 ],[0.06781573 0.25514866 0.04948536],[0.02469181 5.66376669 3.98698795],[2.66562127e-07 1.06438913e-05 1.87037681e-07],TRUE,TRUE,TRUE,dimer
2025-11-06_H,20.0,10.0,1.8,-0.3150423086359879,0.3315117195834073,0.010128389289429496,0.021807336514738308,-0.5497481896487368,0.5089500375171573,[],[0.05043088 5.44726284 0.09805639],[0.00530062 0.08578865 0.00369161],[0.44877787 5.32734804 1.2366776 ],[0.08988588 0.16826189 0.06037196],[1.76508711e-02 2.52089683e+00 4.73732487e+01],[1.56229983e-05 8.16280573e-04 1.07139230e-05],False,True,True,HFT
2025-11-07_E,20.0,6.0,1.8,-0.3150423086359879,0.3315117195834073,0.010128389289429496,0.021807336514738308,-0.5497481896487368,0.5089500375171573,[],[0.02975375 5.16477313 0.10058599],[0.00577354 0.30846824 0.00474376],[0.25986095 4.97149475 1.33810045],[0.06975364 0.45619473 0.06338648],[1.11881642e-02 2.29495096e+00 4.73745486e+01],[1.20376456e-05 1.00698759e-03 8.24171794e-06],False,True,True,HFT
2025-11-17_N,20.0,10.0,1.8,-0.051614633348695094,0.09527114380353044,-0.001298245358688721,0.02670290107118659,-0.06962707397965318,0.13169702543520234,[],[0.04633247 5.61086288 0.13173567],[0.00456814 0.09526888 0.00314583],[0.07587946 5.59414869 0.41100135],[0.01040269 0.12896315 0.00725915],[1.76511218e-02 2.52088486e+00 4.73732515e+01],[1.25653997e-05 6.57341670e-04 8.31163131e-06],False,True,True,HFT
2025-11-18_J,20.0,6.0,1.8,-0.0833873521246673,0.07772731829360668,0.008077807398611636,0.021676944516637667,-0.19103809889845635,0.15100066790659003,[],[0.02702513 5.35337696 0.12853989],[0.00206624 0.07772305 0.00148088],[0.04207871 5.23764841 0.41229379],[0.0063235  0.14943887 0.00456728],[1.11878286e-02 2.29517166e+00 4.73745576e+01],[9.52278362e-06 8.14896255e-04 6.59449032e-06],False,True,True,HFT
